arrayD1,arrayD2,arrayD3,arrayD4,arrayD5,arrayD6,arrayD7,arrayD8,arrayD9,arrayD10,arrayD11,arrayD12,arrayD13,arrayD14,arrayD15,arrayD16,arrayD17,arrayD18,arrayD19,arrayD20,arrayD21,arrayD22,arrayD23,arrayD24,arrayD25,arrayD26,arrayD27,arrayD28,arrayD29,arrayD30,arrayD31,arrayD32,arrayD33,arrayD34,arrayD35,arrayD36,arrayD37,arrayD38,arrayD39,arrayD40,arrayD41,arrayD42,arrayD43,arrayD44,arrayD45,arrayD46,arrayD47,arrayD48,arrayD49,arrayD50,arrayD51,arrayD52,arrayD53,arrayD54,arrayD55,Target
4,82.24,1047,874,7,830,35,701,89.37,640,483,485,-10,-7,618,169,207,115,115,60.1,68.2,72.6,77.2,53.2,78.6,78.0,79.3,77.8,78.3,79.8,49.4,52.8,40.8,41.8,50.7,31.4,431.3,405.7,404.8,399.1,393.3,436.0,427.6,408.3,393.6,427.5,434.2,443.1,14070,0,513.8,491.1,16.7,34,35,71.8
6,21.5,1054,1394,9,1327,42,1100,89.3,760,598,599,-35,-48,764,218,272,142,155,59.7,66.7,71.4,75.2,51.5,77.5,77.3,79.1,77.4,77.4,80.1,49.8,46.7,41.2,42.2,50.9,51.5,444.8,414.1,426.6,434.9,421.2,482.9,436.7,444.3,427.3,451.8,451.0,473.2,21330,0,520.5,499.5,18.3,32,33,71.6
1,84.21,952,406,6,382,40,300,90.41,566,383,385,-13,-11,558,172,204,116,115,66.6,67.8,69.0,71.2,66.2,75.4,75.0,76.4,75.7,75.9,77.5,69.1,43.2,63.5,63.8,62.3,102.6,361.6,372.0,343.3,347.2,322.3,390.0,400.9,343.4,354.7,364.4,382.1,383.2,10800,0,408.7,400.2,20.3,1,0,69.9
0,0.0,968,0,0,0,0,0,90.23,0,2,3,-1,0,18,36,34,15,92,44.4,60.5,59.0,70.5,67.1,66.0,65.8,66.2,65.3,66.1,63.5,58.9,44.6,47.5,53.8,50.7,19.9,62.6,58.9,61.3,65.6,62.8,63.8,68.8,68.7,61.5,59.0,60.6,61.9,0,0,109.3,96.8,22.2,1,1,58.9
12,78.56,979,3361,17,3207,102,2800,90.12,1000,650,652,-144,-143,831,366,372,254,348,73.1,75.8,76.4,78.7,77.9,85.1,84.4,85.7,85.1,85.1,85.3,79.1,61.6,66.2,76.4,68.2,158.4,473.8,469.6,460.3,461.5,458.0,493.1,483.5,469.7,466.4,477.5,491.1,493.2,-27946,0,509.8,500.6,23.2,42,43,76.4
0,80.06,1106,46,3,41,31,0,88.73,401,224,224,-2,-3,297,95,106,64,92,65.2,77.7,74.1,81.2,62.1,89.5,88.5,89.3,87.8,88.4,87.7,56.9,66.6,46.8,48.7,54.2,86.0,437.0,392.0,417.6,415.0,420.2,451.1,401.9,429.5,420.5,443.6,441.0,458.0,4650,0,423.3,409.0,23.7,35,36,73.6
12,71.73,1135,3345,17,3192,162,2800,88.44,1000,668,669,-144,-143,847,356,366,252,346,69.6,78.9,74.0,78.9,69.1,94.4,93.1,94.2,93.1,93.2,91.5,67.7,61.9,52.2,63.8,57.4,171.7,483.6,464.6,466.1,465.6,468.6,507.1,495.6,478.4,478.5,482.3,493.2,505.4,-27046,0,512.9,502.1,24.0,69,68,74.3
0,0.0,1151,49,3,43,36,0,88.26,400,267,267,2,5,355,84,97,49,90,59.3,62.8,69.5,71.0,57.2,68.2,67.9,68.6,67.5,68.3,70.5,55.5,53.4,49.1,48.7,53.2,4.8,150.1,130.3,136.9,140.9,114.2,202.1,152.1,118.2,131.2,160.8,168.9,181.6,3420,0,156.2,145.5,24.3,1,0,69.8
0,0.0,1139,52,3,46,39,0,88.38,400,275,275,2,5,362,52,97,28,90,59.0,61.2,68.6,70.5,56.5,66.2,66.0,66.5,65.5,66.2,68.4,56.2,38.7,50.0,49.7,52.6,-1.4,136.0,117.8,123.0,133.4,93.7,191.3,124.4,103.0,121.4,154.9,167.4,172.5,3450,0,153.4,143.4,18.7,1,0,68.6
9,83.12,1077,2187,12,2085,68,1800,89.05,880,656,660,-93,-85,837,286,344,198,252,63.3,71.4,74.0,77.9,58.0,84.7,83.9,85.4,84.0,84.2,84.6,58.3,59.6,47.8,52.1,52.3,101.5,449.2,409.2,434.4,430.6,428.4,463.1,437.6,442.0,429.7,451.3,450.7,470.9,31380,0,479.6,464.2,31.6,37,38,73.8
